tradingSymbol,holdPrice,invstQty,CURRENT PRICE,% CHANGE,BROKER,exchange
APPL,151.71,14.74,,,SYFE,Nasdaq
AMZN,118.71,5.17,,,SYFE,Nasdaq
ARKG,35.18,200,,,SYFE,Nasdaq
CLR,0.848,1171,,,SYFE,SI
COIN,49.75,20,,,SYFE,Nasdaq
DIS,98.88,12,,,SYFE,Nasdaq
GOOG,121.33,4.285,,,SYFE,Nasdaq
META,94.98,1.916,,,SYFE,Nasdaq
MSFT,279.35,4.714,,,SYFE,Nasdaq
NFLX,166.89,16,,,SYFE,Nasdaq
NVDA,300.25,1.732,,,SYFE,Nasdaq
RBLX,26.17,24.053,,,SYFE,Nasdaq
TQQQ,31.01,80,,,SYFE,Nasdaq
TSLA,229.79,7,,,SYFE,Nasdaq
KWEB,67.28,150,,,IBKR,Nasdaq
GRAB,10.82,500,,,IBKR,Nasdaq
DIS,182.6,28,,,IBKR,Nasdaq
LCID,26.35,50,,,IBKR,Nasdaq
SOFI,17.91,100,,,IBKR,Nasdaq
ARKK,120.88,7,,,IBKR,Nasdaq
PLTR,24.52,100,,,IBKR,Nasdaq
CENN,6.89,33,,,IBKR,Nasdaq
SE,152.29,2,,,IBKR,Nasdaq
TQQQ,59.85,10,,,IBKR,Nasdaq
GLDC,27.21,10,,,IBKR,Nasdaq
SQQQ,50.5,2,,,IBKR,Nasdaq
BITO,31.67,5,,,IBKR,Nasdaq
F,11.23,52,,,IBKR,Nasdaq
INDA,44.44,2,,,IBKR,Nasdaq
RBLX,35.9,30,,,IBKR,Nasdaq
APPL,137.04,20,,,IBKR,Nasdaq
META,227.08,10,,,IBKR,Nasdaq
