Date,LTT,,,
2023-11-23T07:41:00.000Z,"43,576.25",,,
2023-11-23T07:42:00.000Z,"43,575.45",,,
2023-11-23T07:43:00.000Z,"43,579.40",,,
2023-11-23T07:44:00.000Z,"43,581.65",,,
2023-11-23T07:45:00.000Z,"43,577.50",,,
2023-11-23T07:46:00.000Z,"43,575.45",,,
2023-11-23T07:47:00.000Z,"43,583.00",,,
2023-11-23T07:48:00.000Z,"43,581.60",,,
2023-11-23T07:49:00.000Z,"43,584.75",,,
2023-11-23T07:50:00.000Z,"43,590.80",,,
2023-11-23T07:51:00.000Z,"43,583.45",,,
2023-11-23T07:52:00.000Z,"43,583.95",,,
2023-11-23T07:53:00.000Z,"43,584.00",,,
2023-11-23T07:54:00.000Z,"43,584.60",,,
2023-11-23T07:55:00.000Z,"43,576.90",,,
2023-11-23T07:56:00.000Z,"43,580.95",,,
2023-11-23T07:57:00.000Z,"43,583.95",,,
2023-11-23T07:58:00.000Z,"43,591.05",,,
2023-11-23T07:59:00.000Z,"43,592.15",,,
2023-11-23T08:00:00.000Z,"43,583.05",,,
2023-11-23T08:01:00.000Z,"43,577.10",,,
2023-11-23T08:02:00.000Z,"43,598.30",,,
2023-11-23T08:03:00.000Z,"43,587.65",,,
2023-11-23T08:04:00.000Z,"43,582.55",,,
2023-11-23T08:05:00.000Z,"43,579.10",,,
2023-11-23T08:06:00.000Z,"43,574.20",,,
2023-11-23T08:07:00.000Z,"43,567.20",,,
2023-11-23T08:08:00.000Z,"43,569.15",,,
2023-11-23T08:09:00.000Z,"43,567.85",,,
2023-11-23T08:10:00.000Z,"43,568.70",,,
2023-11-23T08:11:00.000Z,"43,570.45",,,
2023-11-23T08:12:00.000Z,"43,577.25",,,
2023-11-23T08:13:00.000Z,"43,581.35",,,
2023-11-23T08:14:00.000Z,"43,584.05",,,
2023-11-23T08:15:00.000Z,"43,591.80",,,
2023-11-23T08:16:00.000Z,"43,606.65",,,
2023-11-23T08:17:00.000Z,"43,614.70",,,
2023-11-23T08:18:00.000Z,"43,605.05",,,
2023-11-23T08:19:00.000Z,"43,605.35",,,
2023-11-23T08:20:00.000Z,"43,608.75",,,
2023-11-23T08:21:00.000Z,"43,606.15",,,
2023-11-23T08:22:00.000Z,"43,603.55",,,
2023-11-23T08:23:00.000Z,"43,600.95",,,
2023-11-23T08:24:00.000Z,"43,592.60",,,
2023-11-23T08:25:00.000Z,"43,608.05",,,
2023-11-23T08:26:00.000Z,"43,613.65",,,
2023-11-23T08:27:00.000Z,"43,606.35",,,
2023-11-23T08:28:00.000Z,"43,604.35",,,
2023-11-23T08:29:00.000Z,"43,607.85",,,
2023-11-23T08:30:00.000Z,"43,649.25",,,
2023-11-23T08:31:00.000Z,"43,630.00",,,
2023-11-23T08:32:00.000Z,"43,633.50",,,
2023-11-23T08:33:00.000Z,"43,626.55",,,
2023-11-23T08:34:00.000Z,"43,615.35",,,
2023-11-23T08:35:00.000Z,"43,617.15",,,
2023-11-23T08:36:00.000Z,"43,614.20",,,
2023-11-23T08:37:00.000Z,"43,619.50",,,
2023-11-23T08:38:00.000Z,"43,600.65",,,
2023-11-23T08:39:00.000Z,"43,611.45",,,
2023-11-23T08:40:00.000Z,"43,604.90",,,
2023-11-23T08:41:00.000Z,"43,608.10",,,
2023-11-23T08:42:00.000Z,"43,606.35",,,
2023-11-23T08:43:00.000Z,"43,607.55",,,
2023-11-23T08:44:00.000Z,"43,593.95",,,
2023-11-23T08:45:00.000Z,"43,595.35",,,
2023-11-23T08:46:00.000Z,"43,586.90",,,
2023-11-23T08:47:00.000Z,"43,600.05",,,
2023-11-23T08:48:00.000Z,"43,581.10",,,
2023-11-23T08:49:00.000Z,"43,598.45",,,
2023-11-23T08:50:00.000Z,"43,589.80",,,
2023-11-23T08:51:00.000Z,"43,597.95",,,
2023-11-23T08:52:00.000Z,"43,590.65",,,
2023-11-23T08:53:00.000Z,"43,589.35",,,
2023-11-23T08:54:00.000Z,"43,593.40",,,
2023-11-23T08:55:00.000Z,"43,598.95",,,
2023-11-23T08:56:00.000Z,"43,592.15",,,
2023-11-23T08:57:00.000Z,"43,597.30",,,
2023-11-23T08:58:00.000Z,"43,598.50",,,
2023-11-23T08:59:00.000Z,"43,598.45",,,
2023-11-23T09:00:00.000Z,"43,602.35",,,
2023-11-23T09:01:00.000Z,"43,601.15",,,
2023-11-23T09:02:00.000Z,"43,610.40",,,
2023-11-23T09:03:00.000Z,"43,595.10",,,
2023-11-23T09:04:00.000Z,"43,587.65",,,
2023-11-23T09:05:00.000Z,"43,585.30",,,
2023-11-23T09:06:00.000Z,"43,591.40",,,
2023-11-23T09:07:00.000Z,"43,590.70",,,
2023-11-23T09:08:00.000Z,"43,590.95",,,
2023-11-23T09:09:00.000Z,"43,590.85",,,
2023-11-23T09:10:00.000Z,"43,592.30",,,
2023-11-23T09:11:00.000Z,"43,596.90",,,
2023-11-23T09:12:00.000Z,"43,589.40",,,
2023-11-23T09:13:00.000Z,"43,597.00",,,
2023-11-23T09:14:00.000Z,"43,595.85",,,
2023-11-23T09:15:00.000Z,"43,603.50",,,
2023-11-23T09:16:00.000Z,"43,606.60",,,
2023-11-23T09:17:00.000Z,"43,599.95",,,
2023-11-23T09:18:00.000Z,"43,597.60",,,
2023-11-23T09:19:00.000Z,"43,598.85",,,
2023-11-23T09:20:00.000Z,"43,596.35",,,
2023-11-23T09:21:00.000Z,"43,587.00",,,
2023-11-23T09:22:00.000Z,"43,591.60",,,
2023-11-23T09:23:00.000Z,"43,596.70",,,
2023-11-23T09:24:00.000Z,"43,590.05",,,
2023-11-23T09:25:00.000Z,"43,600.85",,,
2023-11-23T09:26:00.000Z,"43,602.50",,,
2023-11-23T09:27:00.000Z,"43,601.40",,,
2023-11-23T09:28:00.000Z,"43,604.20",,,
2023-11-23T09:29:00.000Z,"43,600.45",,,
2023-11-23T09:30:00.000Z,"43,600.75",,,
2023-11-23T09:31:00.000Z,"43,590.60",,,
2023-11-23T09:32:00.000Z,"43,588.40",,,
2023-11-23T09:33:00.000Z,"43,585.10",,,
2023-11-23T09:34:00.000Z,"43,591.15",,,
2023-11-23T09:35:00.000Z,"43,576.35",,,
2023-11-23T09:36:00.000Z,"43,580.60",,,
2023-11-23T09:37:00.000Z,"43,584.25",,,
2023-11-23T09:38:00.000Z,"43,568.80",,,
2023-11-23T09:39:00.000Z,"43,579.25",,,
2023-11-23T09:40:00.000Z,"43,566.70",,,
2023-11-23T09:41:00.000Z,"43,577.95",,,
2023-11-23T09:42:00.000Z,"43,579.40",,,
2023-11-23T09:43:00.000Z,"43,584.20",,,
2023-11-23T09:44:00.000Z,"43,579.00",,,
2023-11-23T09:45:00.000Z,"43,583.95",,,
2023-11-23T09:46:00.000Z,"43,575.95",,,
2023-11-23T09:47:00.000Z,"43,572.35",,,
2023-11-23T09:48:00.000Z,"43,562.60",,,
2023-11-23T09:49:00.000Z,"43,565.95",,,
2023-11-23T09:50:00.000Z,"43,570.20",,,
2023-11-23T09:51:00.000Z,"43,567.20",,,
2023-11-23T09:52:00.000Z,"43,570.15",,,
2023-11-23T09:53:00.000Z,"43,574.30",,,
2023-11-23T09:54:00.000Z,"43,581.90",,,
2023-11-23T09:55:00.000Z,"43,590.05",,,
2023-11-23T09:56:00.000Z,"43,589.85",,,
2023-11-23T09:57:00.000Z,"43,597.15",,,
2023-11-23T09:58:00.000Z,"43,598.65",,,
2023-11-23T09:59:00.000Z,"43,597.65",,,
2023-11-24T03:45:00.000Z,"43,607.35",,,
2023-11-24T03:46:00.000Z,"43,629.30",,,
2023-11-24T03:47:00.000Z,"43,619.70",,,
2023-11-24T03:48:00.000Z,"43,615.00",,,
2023-11-24T03:49:00.000Z,"43,614.80",,,
2023-11-24T03:50:00.000Z,"43,608.35",,,
2023-11-24T03:51:00.000Z,"43,597.00",,,
2023-11-24T03:52:00.000Z,"43,605.60",,,
2023-11-24T03:53:00.000Z,"43,607.25",,,
2023-11-24T03:54:00.000Z,"43,619.15",,,
2023-11-24T03:55:00.000Z,"43,622.20",,,
2023-11-24T03:56:00.000Z,"43,625.80",,,
2023-11-24T03:57:00.000Z,"43,625.45",,,
2023-11-24T03:58:00.000Z,"43,637.20",,,
