Date,LTP,,,
2023-12-08T04:00:00.000Z,46935.50,,,
2023-12-08T04:01:00.000Z,46926.15,,,
2023-12-08T04:02:00.000Z,46948.05,,,
2023-12-08T04:03:00.000Z,46942.30,,,
2023-12-08T04:04:00.000Z,46931.15,,,
2023-12-08T04:05:00.000Z,46920.80,,,
2023-12-08T04:06:00.000Z,46931.65,,,
2023-12-08T04:07:00.000Z,46920.35,,,
2023-12-08T04:08:00.000Z,46933.95,,,
2023-12-08T04:09:00.000Z,46936.75,,,
2023-12-08T04:10:00.000Z,46941.20,,,
2023-12-08T04:11:00.000Z,46942.15,,,
2023-12-08T04:12:00.000Z,46947.20,,,
2023-12-08T04:13:00.000Z,47022.85,,,
2023-12-08T04:14:00.000Z,47010.35,,,
2023-12-08T04:15:00.000Z,47015.60,,,
2023-12-08T04:16:00.000Z,47012.35,,,
2023-12-08T04:17:00.000Z,46998.05,,,
2023-12-08T04:18:00.000Z,47000.25,,,
2023-12-08T04:19:00.000Z,46993.45,,,
2023-12-08T04:20:00.000Z,47024.50,,,
2023-12-08T04:21:00.000Z,47015.75,,,
2023-12-08T04:22:00.000Z,47018.10,,,
2023-12-08T04:23:00.000Z,47056.90,,,
2023-12-08T04:24:00.000Z,47064.35,,,
2023-12-08T04:25:00.000Z,47053.55,,,
2023-12-08T04:26:00.000Z,47046.40,,,
2023-12-08T04:27:00.000Z,47040.20,,,
2023-12-08T04:28:00.000Z,47037.10,,,
2023-12-08T04:29:00.000Z,47048.50,,,
2023-12-08T04:30:00.000Z,47074.40,,,
2023-12-08T04:31:00.000Z,47046.95,,,
2023-12-08T04:32:00.000Z,47040.10,,,
2023-12-08T04:33:00.000Z,47093.30,,,
2023-12-08T04:34:00.000Z,47050.30,,,
2023-12-08T04:35:00.000Z,47090.80,,,
2023-12-08T04:36:00.000Z,47118.70,,,
2023-12-08T04:37:00.000Z,47108.75,,,
2023-12-08T04:38:00.000Z,47112.35,,,
2023-12-08T04:39:00.000Z,47079.55,,,
2023-12-08T04:40:00.000Z,47053.35,,,
2023-12-08T04:41:00.000Z,47019.30,,,
2023-12-08T04:42:00.000Z,47066.55,,,
2023-12-08T04:43:00.000Z,47099.35,,,
2023-12-08T04:44:00.000Z,47080.45,,,
2023-12-08T04:45:00.000Z,47097.70,,,
2023-12-08T04:46:00.000Z,47093.45,,,
2023-12-08T04:47:00.000Z,47088.75,,,
2023-12-08T04:48:00.000Z,47084.40,,,
2023-12-08T04:49:00.000Z,47088.90,,,
2023-12-08T04:50:00.000Z,47099.05,,,
2023-12-08T04:51:00.000Z,47088.80,,,
2023-12-08T04:52:00.000Z,47075.15,,,
2023-12-08T04:53:00.000Z,47058.50,,,
2023-12-08T04:54:00.000Z,47055.55,,,
2023-12-08T04:55:00.000Z,47074.35,,,
2023-12-08T04:56:00.000Z,47071.60,,,
2023-12-08T04:57:00.000Z,47060.10,,,
2023-12-08T04:58:00.000Z,47059.35,,,
2023-12-08T04:59:00.000Z,47072.85,,,
2023-12-08T05:00:00.000Z,47149.70,,,
2023-12-08T05:01:00.000Z,47142.10,,,
